Date,TWSEMarginMaintenanceRate_IncludeETF,TWSEMarginMaintenanceRate_ExcludeETF,TWSEMarginMarketValueK_IncludeETF,TWSEMarginMarketValueK_ExcludeETF,TWSEETFMarginMarketValueK,TWSETotalMarginAmountK,TPEXMarginMaintenanceRate_IncludeETF,TPEXMarginMaintenanceRate_ExcludeETF,TPEXMarginMarketValueK_IncludeETF,TPEXMarginMarketValueK_ExcludeETF,TPEXETFMarginMarketValueK,TPEXTotalMarginAmountK,CombinedMarginMaintenanceRate_IncludeETF,CombinedMarginMaintenanceRate_ExcludeETF,CombinedMarginMarketValueK_IncludeETF,CombinedMarginMarketValueK_ExcludeETF,CombinedETFMarginMarketValueK,CombinedTotalMarginAmountK,Status
2012-03-05,165.27793166522696,164.54889473921938,352014260.81,350461534.49000007,1552726.3199999332,212983220.0,195.7369841272449,195.73505323456683,77450668.12,77449904.09,764.0300000011921,39568745.0,170.05012371612312,169.4350066054723,429464928.93,427911438.58000004,1553490.3499999642,252551965.0,ok
2012-03-06,162.5462321678468,161.81366919196495,345386354.91999996,343829768.51,1556586.4099999666,212484996.0,190.5240638946098,190.5220714417781,74687201.10999998,74686420.05,781.059999987483,39200928.0,166.90387342837653,166.2850992652255,420073556.03,418516188.56,1557367.469999969,251685924.0,ok
2012-03-07,162.17242797356928,161.4352043107872,345140427.48,343571445.05,1568982.4300000072,212823124.0,190.4024725039324,190.40017466199885,74662293.06,74661392.01,901.0499999970198,39212880.0,166.56458358227263,165.94170294018787,419802720.54,418232837.06,1569883.480000019,252036004.0,ok
2012-03-08,163.78872362143932,163.0649013838473,349277633.42999995,347734090.55,1543542.8799999356,213248889.0,192.58951002831216,192.5872713434859,75845699.06,75844817.42,881.640000000596,39382051.0,168.27841138144043,167.66707512943586,425123332.48999995,423578907.97,1544424.5199999213,252630940.0,ok
2012-03-09,165.10843457028705,164.37840246002534,353297804.84000003,351735687.54,1562117.300000012,213979259.0,195.75368960517415,195.7513881979216,77491474.47999999,77490563.44,911.0399999916553,39586214.0,169.89272010231457,169.27630008206992,430789279.32000005,429226250.98,1563028.3400000334,253565473.0,ok
2012-03-12,162.5664689648204,161.87711387768445,347326554.53999996,345853733.43,1472821.1099999547,213652026.0,193.61730499427426,193.61530333060216,76898911.45,76898116.44999999,795.0000000149012,39716962.0,167.4338557921698,166.85224707926764,424225465.98999995,422751849.88,1473616.1099999547,253368988.0,ok
2012-03-13,163.3629652236462,162.6659392056426,348744909.0,347256907.88,1488001.1200000048,213478562.0,192.70496367516128,192.7027641331029,76469860.08,76468987.25,872.8299999982119,39682351.0,167.96225137645953,167.37413770110712,425214769.08,423725895.13,1488873.949999988,253160913.0,ok
2012-03-14,164.9969430401025,164.30023501503743,350490057.14,349010094.96000004,1479962.1799999475,212422152.0,194.81620811823427,194.81375997351228,77527174.31,77526200.07000001,974.2399999946356,39795033.0,169.70185098608565,169.11468385074556,428017231.45,426536295.03000003,1480936.419999957,252217185.0,ok
2012-03-15,165.01868737892286,164.32280266766915,352380119.53999996,350894130.64,1485988.8999999762,213539524.0,195.57660198773308,195.57416226885488,78267712.34,78266735.99000001,976.3499999940395,40018955.0,169.84162137997365,169.25518260030265,430647831.88,429160866.63,1486965.25,253558479.0,ok
2012-03-16,164.7841754819334,164.09122700283544,352496925.38,351014609.45000005,1482315.9299999475,213914306.0,196.42900685159194,196.4270906688594,79092039.42999999,79091267.88,771.5499999970198,40264949.0,169.79708466373467,169.2136037341049,431588964.81,430105877.33000004,1483087.4799999595,254179255.0,ok
